ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
1;Aglie;aglie;45.3681;7.7681;001;001;001001;0;0
2;Airasca;airasca;44.9181;7.4855;001;002;001002;0;0
3;Ala di Stura;ala-di-stura;45.3154;7.3026;001;003;001003;0;0
4;Albiano d'Ivrea;albiano-divrea;45.4339;7.9517;001;004;001004;0;0
5;Alice Superiore;alice-superiore;45.4599;7.7774;001;005;001005;0;0
6;Almese;almese;45.1169;7.3954;001;006;001006;0;0
7;Alpette;alpette;45.4106;7.5808;001;007;001007;0;0
8;Alpignano;alpignano;45.0943;7.5244;001;008;001008;0;0
9;Andezeno;andezeno;45.0373;7.8731;001;009;001009;0;0
10;Andrate;andrate;45.5285;7.8814;001;010;001010;0;0
11;Angrogna;angrogna;44.8438;7.2246;001;011;001011;0;0
12;Arignano;arignano;45.0438;7.9011;001;012;001012;0;0
13;Avigliana;avigliana;45.0793;7.3967;001;013;001013;0;0
14;Azeglio;azeglio;45.4246;7.995;001;014;001014;0;0
15;Bairo;bairo;45.387;7.7564;001;015;001015;0;0
16;Balangero;balangero;45.2714;7.5186;001;016;001016;0;0
17;Baldissero Canavese;baldissero-canavese;45.4112;7.7453;001;017;001017;0;0
18;Baldissero Torinese;baldissero-torinese;45.0685;7.817;001;018;001018;0;0
19;Balme;balme;45.3022;7.2181;001;019;001019;0;0
20;Banchette;banchette;45.4545;7.8575;001;020;001020;0;0
21;Barbania;barbania;45.2924;7.6314;001;021;001021;0;0
22;Bardonecchia;bardonecchia;45.0788;6.7043;001;022;001022;0;0
23;Barone Canavese;barone-canavese;45.3267;7.8745;001;023;001023;0;0
24;Beinasco;beinasco;45.0228;7.5878;001;024;001024;0;0
25;Bibiana;bibiana;44.8;7.2894;001;025;001025;0;0
26;Bobbio Pellice;bobbio-pellice;44.8078;7.1178;001;026;001026;0;0
27;Bollengo;bollengo;45.4703;7.9466;001;027;001027;0;0
28;Borgaro Torinese;borgaro-torinese;45.1517;7.6578;001;028;001028;0;0
29;Borgiallo;borgiallo;45.4181;7.6697;001;029;001029;0;0
30;Borgofranco d'Ivrea;borgofranco-divrea;45.5139;7.8592;001;030;001030;0;0
31;Borgomasino;borgomasino;45.3642;7.9888;001;031;001031;0;0
32;Borgone Susa;borgone-susa;45.1212;7.2398;001;032;001032;0;0
33;Bosconero;bosconero;45.268;7.7641;001;033;001033;0;0
34;Brandizzo;brandizzo;45.1783;7.8389;001;034;001034;0;0
35;Bricherasio;bricherasio;44.8245;7.3066;001;035;001035;0;0
36;Brosso;brosso;45.494;7.8039;001;036;001036;0;0
37;Brozolo;brozolo;45.1177;8.0725;001;037;001037;0;0
38;Bruino;bruino;45.0212;7.4646;001;038;001038;0;0
39;Brusasco;brusasco;45.1558;8.0595;001;039;001039;0;0
40;Bruzolo;bruzolo;45.1434;7.1938;001;040;001040;0;0
41;Buriasco;buriasco;44.8747;7.4114;001;041;001041;0;0
42;Burolo;burolo;45.4822;7.935;001;042;001042;0;0
43;Busano;busano;45.3331;7.6571;001;043;001043;0;0
44;Bussoleno;bussoleno;45.1414;7.1475;001;044;001044;0;0
45;Buttigliera Alta;buttigliera-alta;45.071;7.4295;001;045;001045;0;0
46;Cafasse;cafasse;45.2461;7.5184;001;046;001046;0;0
47;Caluso;caluso;45.3059;7.8969;001;047;001047;0;0
48;Cambiano;cambiano;44.9694;7.7731;001;048;001048;0;0
49;Campiglione-Fenile;campiglione-fenile;44.8025;7.3235;001;049;001049;0;0
50;Candia Canavese;candia-canavese;45.3288;7.8863;001;050;001050;0;0
51;Candiolo;candiolo;44.9603;7.6028;001;051;001051;0;0
52;Canischio;canischio;45.3745;7.5958;001;052;001052;0;0
53;Cantalupa;cantalupa;44.947;7.3314;001;053;001053;0;0
54;Cantoira;cantoira;45.3395;7.387;001;054;001054;0;0
55;Caprie;caprie;45.1198;7.3331;001;055;001055;0;0
56;Caravino;caravino;45.3992;7.9614;001;056;001056;0;0
57;Carema;carema;45.5845;7.8119;001;057;001057;0;0
58;Carignano;carignano;44.908;7.6744;001;058;001058;0;0
59;Carmagnola;carmagnola;44.8455;7.7192;001;059;001059;0;0
60;Casalborgone;casalborgone;45.1312;7.9414;001;060;001060;0;0
